Sample ID,Type,Standoff,Spacing,AI,AV
DG-PCB001,both-rad,7.5,step,-1.94e-10,0.0001284168
DG-PCB001,both-rad,7.5,step,-1.97e-10,-0.499
DG-PCB001,both-rad,7.5,step,-2.11e-10,-1.0
DG-PCB001,both-rad,7.5,step,-2.29e-10,-1.5
DG-PCB001,both-rad,7.5,step,-2.34e-10,-2.0
DG-PCB001,both-rad,7.5,step,-2.45e-10,-2.5
DG-PCB001,both-rad,7.5,step,-2.51e-10,-3.0
DG-PCB001,both-rad,7.5,step,-2.65e-10,-3.5
DG-PCB001,both-rad,7.5,step,-2.72e-10,-4.0
DG-PCB001,both-rad,7.5,step,-2.92e-10,-4.5
DG-PCB001,both-rad,7.5,step,-3.02e-10,-5.0
DG-PCB001,both-rad,7.5,step,-3.07e-10,-5.5
DG-PCB001,both-rad,7.5,step,-3.34e-10,-6.0
DG-PCB001,both-rad,7.5,step,-3.38e-10,-6.5
DG-PCB001,both-rad,7.5,step,-3.57e-10,-7.0
DG-PCB001,both-rad,7.5,step,-3.58e-10,-7.5
